   "CD(airfoil)"  ,   "CL(airfoil)"  ,  "CSF(airfoil)"  ,  "CMx(airfoil)"  ,  "CMy(airfoil)"  ,  "CMz(airfoil)"  ,  "CFx(airfoil)"  ,  "CFy(airfoil)"  ,  "CFz(airfoil)"  ,  "CEff(airfoil)" 
     0.02134698482,       1.542023917,                 0,                 0,                 0,    -0.01158078253,     -0.3784855539,       1.495005733,                 0,       72.23614624
     0.02134698804,        1.54202453,                 0,                 0,                 0,    -0.01158063859,     -0.3784857093,       1.495006325,                 0,       72.23616405
     0.02134702034,        1.54202535,                 0,                 0,                 0,    -0.01158043736,     -0.3784858905,       1.495007126,                 0,       72.23609319
     0.02134710505,       1.542026475,                 0,                 0,                 0,    -0.01158014221,     -0.3784860996,       1.495008234,                 0,        72.2358592
     0.02134726883,       1.542028028,                 0,                 0,                 0,    -0.01157971091,     -0.3784863435,       1.495009777,                 0,       72.23537776
     0.02134753673,       1.542030157,                 0,                 0,                 0,    -0.01157910892,     -0.3784866356,       1.495011902,                 0,       72.23457094
     0.02134793994,       1.542033048,                 0,                 0,                 0,     -0.0115782979,     -0.3784869945,         1.4950148,                 0,       72.23334207
     0.02134852966,       1.542036971,                 0,                 0,                 0,    -0.01157721457,     -0.3784874401,       1.495018741,                 0,       72.23153048
     0.02134938276,       1.542042286,                 0,                 0,                 0,      -0.011575764,     -0.3784879919,       1.495024096,                 0,       72.22889316
     0.02135059445,       1.542049439,                 0,                 0,                 0,    -0.01157382759,     -0.3784886727,       1.495031319,                 0,       72.22512901
     0.02135196023,       1.542057227,                 0,                 0,                 0,    -0.01157172966,     -0.3784893693,       1.495039196,                 0,        72.2208739
